pipeline,category,slug,arch,variant,window_s,tasks,modality_dropped,cv_scheme,n_folds,n_seeds,exercise_f1_mean,exercise_f1_std,phase_f1_mean,phase_f1_std,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,reps_mae_mean,reps_mae_std,val_total_mean,val_total_std
v20_raw,single-task,v20_st-fatigue-w2s-cnn1d_raw,cnn1d_raw,raw,2.0,fatigue,none,LOSO 10-fold,10,3,,,,,0.969450414456173,0.2585328031405868,0.31427047297749383,0.33579111326905614,,,0.488780534581438,0.11710244375992183
v20_raw,single-task,v20_st-fatigue-w2s-cnn_lstm_raw,cnn_lstm_raw,raw,2.0,fatigue,none,LOSO 10-fold,10,3,,,,,0.9084410987041941,0.1806239458066773,0.23725904411294277,0.34131133009273407,,,0.4584978942886402,0.08389134073677457
v20_raw,single-task,v20_st-fatigue-w2s-lstm_raw,lstm_raw,raw,2.0,fatigue,none,LOSO 10-fold,10,3,,,,,0.9221842990853047,0.19159110247990244,0.12979415381266188,0.28345436541221664,,,0.46454955392211694,0.09026531774913567
v20_raw,single-task,v20_st-fatigue-w2s-tcn_raw,tcn_raw,raw,2.0,fatigue,none,LOSO 10-fold,10,3,,,,,0.9139052862229721,0.2613547784736042,0.3023222933619687,0.3430157877211149,,,0.47815789712215256,0.10300852569164802
v20_raw,single-task,v20_st-fatigue-w5s-cnn1d_raw,cnn1d_raw,raw,5.0,fatigue,none,LOSO 10-fold,10,3,,,,,1.0058302039258586,0.28373326973982,0.23919328451569158,0.3609354710302892,,,0.5035303970177968,0.1358707772948471
v20_raw,single-task,v20_st-fatigue-w5s-cnn_lstm_raw,cnn_lstm_raw,raw,5.0,fatigue,none,LOSO 10-fold,10,3,,,,,0.8988779731917951,0.16401507341953198,0.21774985275971293,0.3252478362913898,,,0.4527592102686564,0.07762281251137483
v20_raw,single-task,v20_st-fatigue-w5s-lstm_raw,lstm_raw,raw,5.0,fatigue,none,LOSO 10-fold,10,3,,,,,0.8921772773005393,0.16069460097847998,0.11146356539131988,0.3248057308721116,,,0.45205774704615276,0.07385521104057324
v20_raw,single-task,v20_st-fatigue-w5s-tcn_raw,tcn_raw,raw,5.0,fatigue,none,LOSO 10-fold,10,3,,,,,0.9229251688372819,0.22668947802255887,0.2987466298497819,0.35145604379496814,,,0.4751740028460821,0.09398739732175064
v20_raw,single-task,v20_st-phase-w1s-cnn1d_raw,cnn1d_raw,raw,1.0,phase,none,LOSO 10-fold,10,3,,,0.3613654471236102,0.03819867911298352,,,,,,,0.1545570895012813,0.09669465150748263
v20_raw,single-task,v20_st-phase-w1s-cnn_lstm_raw,cnn_lstm_raw,raw,1.0,phase,none,LOSO 10-fold,10,3,,,0.37880223182503076,0.0319630433409297,,,,,,,0.144731348360775,0.09540473589626
v20_raw,single-task,v20_st-phase-w1s-lstm_raw,lstm_raw,raw,1.0,phase,none,LOSO 10-fold,10,3,,,0.33312291031819463,0.047978255690674904,,,,,,,0.16811198612501077,0.11881419933331218
v20_raw,single-task,v20_st-phase-w1s-tcn_raw,tcn_raw,raw,1.0,phase,none,LOSO 10-fold,10,3,,,0.36455843590411213,0.03903207042910103,,,,,,,0.15319412509778846,0.10386480345648096
v20_raw,single-task,v20_st-phase-w2s-cnn1d_raw,cnn1d_raw,raw,2.0,phase,none,LOSO 10-fold,10,3,,,0.3398098156892825,0.04530145003285128,,,,,,,-0.02346962032614713,0.13882848877321174
v20_raw,single-task,v20_st-phase-w2s-cnn_lstm_raw,cnn_lstm_raw,raw,2.0,phase,none,LOSO 10-fold,10,3,,,0.3458991305699521,0.03740292937717325,,,,,,,-0.02815229599763242,0.1429853346470872
v20_raw,single-task,v20_st-phase-w2s-lstm_raw,lstm_raw,raw,2.0,phase,none,LOSO 10-fold,10,3,,,0.27096697385921814,0.058528033635707716,,,,,,,-0.03167379976052406,0.09066059211812091
v20_raw,single-task,v20_st-phase-w2s-tcn_raw,tcn_raw,raw,2.0,phase,none,LOSO 10-fold,10,3,,,0.35144098157731507,0.031146549633489434,,,,,,,-0.017969384288360014,0.1521558596676828
v20_raw,single-task,v20_st-phase-w5s-cnn1d_raw,cnn1d_raw,raw,5.0,phase,none,LOSO 10-fold,10,3,,,0.43672233960931,0.0902446775357631,,,,,,,-0.11233594715595245,0.11540069223859964
v20_raw,single-task,v20_st-phase-w5s-cnn_lstm_raw,cnn_lstm_raw,raw,5.0,phase,none,LOSO 10-fold,10,3,,,0.4110156475769536,0.09480290430687474,,,,,,,-0.0925430566072464,0.101187742753012
v20_raw,single-task,v20_st-phase-w5s-lstm_raw,lstm_raw,raw,5.0,phase,none,LOSO 10-fold,10,3,,,0.2553996654789936,0.055105671156127654,,,,,,,-0.0654308299223582,0.05607175965274534
v20_raw,single-task,v20_st-phase-w5s-tcn_raw,tcn_raw,raw,5.0,phase,none,LOSO 10-fold,10,3,,,0.22509082547160109,0.057196991355945595,,,,,,,-0.06252582172552744,0.06153586128645641
v20_raw,single-task,v20_st-reps-w1s-cnn1d_raw,cnn1d_raw,raw,1.0,reps,none,LOSO 10-fold,10,3,,,,,,,,,0.10393731372009372,0.016509087317848236,-1.8021243051011382,0.17163841937875327
v20_raw,single-task,v20_st-reps-w1s-cnn_lstm_raw,cnn_lstm_raw,raw,1.0,reps,none,LOSO 10-fold,10,3,,,,,,,,,0.10657560786056183,0.01652977881819168,-1.794098631420989,0.16020807021354264
v20_raw,single-task,v20_st-reps-w1s-lstm_raw,lstm_raw,raw,1.0,reps,none,LOSO 10-fold,10,3,,,,,,,,,0.11125223607435517,0.022556911236080064,-1.7572066702852422,0.15131013192179543
v20_raw,single-task,v20_st-reps-w1s-tcn_raw,tcn_raw,raw,1.0,reps,none,LOSO 10-fold,10,3,,,,,,,,,0.10427671398166617,0.01656818910425463,-1.8013348914258427,0.16607685251791543
v20_raw,single-task,v20_st-reps-w2s-cnn1d_raw,cnn1d_raw,raw,2.0,reps,none,LOSO 10-fold,10,3,,,,,,,,,0.18514009403306492,0.030484048673215473,-1.2571801830035934,0.15011038335642463
v20_raw,single-task,v20_st-reps-w2s-cnn_lstm_raw,cnn_lstm_raw,raw,2.0,reps,none,LOSO 10-fold,10,3,,,,,,,,,0.19591612797843436,0.03242599563673632,-1.2200801536795125,0.14220655685654127
