slug,seed,fold,test_subjects,val_total,exercise_f1,exercise_balanced_acc,exercise_n,phase_f1,phase_balanced_acc,phase_n,fatigue_mae,fatigue_pearson,fatigue_n,reps_mae,reps_n
v17abl-drop_ppg-lstm-w1s,7,3,,-0.3932578160018517,0.11507128309572301,0.25,756,0.2254249815225425,0.3333333333333333,597,1.1517908812830688,-0.04572613560992267,756,0.1731562859767988,591
v17abl-drop_ppg-lstm-w1s,7,4,,-0.22709368094049318,0.31064660672403455,0.3040364482053235,792,0.21940364931019132,0.3381630512778054,452,0.9530460858585859,0.08183715933249,792,0.1764514986615274,442
v17abl-drop_ppg-lstm-w1s,7,5,,-0.625964694774633,0.15830314199834342,0.2658455470500373,717,0.21568627450980393,0.33229166666666665,667,0.951338040446304,0.349794199438277,717,0.15107004631282692,665
v17abl-drop_ppg-lstm-w1s,7,6,,-0.10641939790823714,0.16769255472889794,0.2561897640412097,506,0.2162962962962963,0.3333333333333333,456,0.9426491477272727,-0.06263422153858048,506,0.23017496746371907,454
v17abl-drop_ppg-lstm-w1s,7,7,,-0.16368310379862586,0.15011682242990654,0.3333333333333333,599,0.22040072859744989,0.3333333333333333,490,1.090724123539232,-0.19460369830056418,599,0.194869152159112,486
v17abl-drop_ppg-lstm-w1s,7,8,,-0.5286020392394928,0.26128238125878794,0.2834430574555403,747,0.2863895858332424,0.47549329123914763,747,0.8258502761044176,-0.18770096263678263,747,0.2057740997705095,747
v17abl-drop_ppg-lstm-w1s,7,9,,-0.04154691780495107,0.10978670012547051,0.25,1244,0.23815272148057723,0.33407431118698727,1169,0.6634439057475884,0.2962416960390671,1244,0.24990437463121035,1167
v17abl-drop_ppg-lstm-w2s,1337,0,,-0.3676618455660225,0.10751295336787564,0.25,303,0.2012288786482335,0.5,303,0.9579079001650165,0.32044684439576027,303,0.23581670637921778,303
v17abl-drop_ppg-lstm-w2s,1337,1,,-0.30789050790998673,0.11428571428571428,0.25,324,0.2254059216809933,0.3333333333333333,231,1.1070481288580247,0.21135809965355828,324,0.27249160910580766,228
v17abl-drop_ppg-lstm-w2s,1337,2,,0.3966216037147923,0.13373493975903614,0.25,304,0.21266427718040623,0.3333333333333333,190,1.433555201480263,-0.06303863263477211,304,0.19541524273447972,187
v17abl-drop_ppg-lstm-w2s,1337,3,,-0.4058282570864158,0.11507128309572301,0.25,378,0.26172947281633446,0.3354070660522273,298,1.1485925099206349,-0.04607888125716921,378,0.17048804011132757,295
v17abl-drop_ppg-lstm-w2s,1337,4,,-0.14667875520528414,0.13240740740740742,0.25,397,0.20102564102564102,0.3333333333333333,227,0.9961134288413098,0.15994314025822626,397,0.1767077910848096,222
